"Requisito","Lo que tenemos","Fuente exacta","Estado","Trabajo afectado","Siguiente acción mínima"
"Gas Monthly: cantidad total","Confirmación actual de Bru: 10 MW; coincide con dos antecedentes derivados. No implica MWh, periodo ni sizing por BUY.","/Users/brunillo/.codex/attachments/dcbf3077-803f-471c-9555-a1c732cd9d21/Pasted text.txt líneas 10-21; /Users/brunillo/Documents/energy_markets/plan/Power_Gas_Plan_Maestro_v1_1_2026-09-14.pdf p.4; /Users/brunillo/Documents/energy_markets/research/Power_Gas_Cuaderno_Investigacion_13_Preguntas_v1_2026-09-14.pdf p.2","DISPONIBLE Y RESPALDADO.","Registro de obligación; extensiones Gas Monthly futuras","No volver a preguntar la cantidad; vincular 10 MW a Campaign ID, contrato, vigencia y delivery profile cuando se reciba el mandato."
"Power Monthly: cantidad total","Confirmación actual de Bru: 10 MW; coincide con dos antecedentes derivados. No implica MWh, periodo ni sizing por BUY.","/Users/brunillo/.codex/attachments/dcbf3077-803f-471c-9555-a1c732cd9d21/Pasted text.txt líneas 10-21; /Users/brunillo/Documents/energy_markets/plan/Power_Gas_Plan_Maestro_v1_1_2026-09-14.pdf p.4; /Users/brunillo/Documents/energy_markets/research/Power_Gas_Cuaderno_Investigacion_13_Preguntas_v1_2026-09-14.pdf p.2","DISPONIBLE Y RESPALDADO.","Registro de obligación; extensiones Power Monthly futuras","No volver a preguntar la cantidad; vincular 10 MW a Campaign ID, contrato, vigencia y delivery profile."
"Gas Quarterly: cantidad total","Confirmación actual de Bru: 60 MW; coincide con dos antecedentes derivados y con la afirmación histórica de IMP-02.","/Users/brunillo/.codex/attachments/dcbf3077-803f-471c-9555-a1c732cd9d21/Pasted text.txt líneas 10-21; /Users/brunillo/Documents/energy_markets/plan/Power_Gas_Plan_Maestro_v1_1_2026-09-14.pdf p.4; /Users/brunillo/Documents/energy_markets/research/Power_Gas_Cuaderno_Investigacion_13_Preguntas_v1_2026-09-14.pdf p.2; /srv/hot-data/energy-markets/app/operations/audit/IMP-02/campaign-contract.json historicalAssertions","DISPONIBLE Y RESPALDADO.","IMP-02; P5 Gas Quarterly","No volver a preguntar la cantidad; materializarla en una campaña real con unidad/delivery completos."
"Power Quarterly: cantidad total","Confirmación actual de Bru: 20 MW. Contradice el antecedente «10 Energy» con unidad no explicitada/pending.","/Users/brunillo/.codex/attachments/dcbf3077-803f-471c-9555-a1c732cd9d21/Pasted text.txt líneas 10-21; /Users/brunillo/Documents/energy_markets/plan/Power_Gas_Plan_Maestro_v1_1_2026-09-14.pdf p.4; /Users/brunillo/Documents/energy_markets/research/Power_Gas_Cuaderno_Investigacion_13_Preguntas_v1_2026-09-14.pdf p.2; /Users/brunillo/Documents/energy_markets/canonical engineering documents/PROCUREMENT_RESEARCH_CANONICAL_ENGINEERING_SPEC_v1_1.md línea 1990 CCR-08; /Users/brunillo/Documents/energy_markets/canonical engineering documents/PROCUREMENT_RESEARCH_CANONICAL_CONSOLIDATION_REPORT_v1_1.md línea 104","PRESENTE, PENDIENTE DE VALIDAR O RECONCILIAR.","Registro de obligación Power Quarterly; corrección documental futura","Registrar 20 MW como confirmación actual sin borrar «10 Energy»; en una tarea autorizada, reconciliar vigencia/campaña y actualizar la SPEC por control de cambios."
"Documentos operativos originales de empresa","No se localizaron mandatos, fichas de obligación, contratos de suministro/hedging, calendarios, fee schedules ni registros de fills originales. El corpus reference son 15 PDF y 3 MD de research/plan/documentación.","Inventario read-only /srv/hot-data/energy-markets (maxdepth 5); /srv/hot-data/energy-markets/reference; directorios locales documentation, plan, research y canonical engineering documents","NO ENCONTRADO EN EL ALCANCE INSPECCIONADO.","IMP-02; DEP-01 a DEP-05","Localizar o solicitar un único paquete de mandato/campañas; no concluir que nunca fue entregado."
"Campaign ID y lista de campañas reales","IMP-02 registra campaignIdentified=false; no hay lista de campañas de procurement del cliente.","/srv/hot-data/energy-markets/app/operations/audit/IMP-02/audit-report.md §§2,5; campaign-contract.json; SPEC §4.1 y §24 DEP-01","NO ENCONTRADO EN EL ALCANCE INSPECCIONADO.","IMP-02; IMP-03 R-01; IMP-09","Obtener lista auditada con Campaign ID, producto, mission, fechas y contrato."
"Producto, hub/mercado y contrato exacto del cliente","El lago tiene candidatos DE-LU/THE y códigos DEBM/DEBQ/G0BM/G0BQ, pero no existe vínculo al mandato del cliente; residencia alemana no identifica Gas.","SPEC §4.1 líneas 249-258; /home/op/apps/power-markets-explorer/scripts/generate_eex_snapshot.py líneas 21-35; IMP-02 audit-report.md","PRESENTE, PENDIENTE DE VALIDAR O RECONCILIAR.","IMP-02; IMP-04/05; todos los runs reales","Reconciliar el mandato con product master, ShortCode, maturity e ISIN exactos."
"Periodo, horas y perfil de entrega","Cantidades en MW disponibles; no hay periodo/horas/perfil suficiente para energía entregada ni EUR totales.","Pasted text.txt líneas 10-21; D08 p.4 Nota técnica de unidades; SPEC §4.1 líneas 247-258","NO ENCONTRADO EN EL ALCANCE INSPECCIONADO.","DEP-01; B/H/V; sizing y cobertura","Obtener delivery profile/horas y mantener MW separado de MWh hasta entonces."
"Liquidación física/financiera y coexistencia con hedge","La SPEC exige declararla; no se encontró el valor real.","SPEC §24 DEP-01 línea 2031; Master Plan Open Points p.3","NO ENCONTRADO EN EL ALCANCE INSPECCIONADO.","H all-in; coverage ownership; comparabilidad","Añadirla al paquete de mandato por obligación."
"Apertura/cierre de campaña, oportunidades y deadline","Sólo existen ventanas de benchmark; no calendario real de procurement.","SPEC §4.1 líneas 251-258; §5.3 líneas 382-389; IMP-02 audit-report.md §§2,5","NO ENCONTRADO EN EL ALCANCE INSPECCIONADO.","IMP-02/03/10/12; replay A0/A1","Obtener calendario real, zona, oportunidades, deadline y vigencia."
